"objectid","station_name","exit_code","inc_crc","updated_at","lon","lat","geom_4326","geom_3414"
14641,JELAPANG LRT STATION,Exit A,"45CDB0D9BDC73079","20231019120510",103.76467679284494,1.3868326995309255,POINT (103.76467679284494 1.3868326995309255),POINT (20361.052800033693 40974.54020001657)
14642,SEGAR LRT STATION,Exit A,"54BFE6EB924CBA6F","20231019120510",103.76940991480218,1.3878115559952267,POINT (103.76940991480218 1.3878115559952267),POINT (20887.791500033956 41082.76250001807)
14643,FAJAR LRT STATION,Exit A,A324402CF624723A,"20231019120510",103.77067551844488,1.3844650711796456,POINT (103.77067551844488 1.3844650711796456),POINT (21028.62710003455 40712.721200012886)
14644,BANGKIT LRT STATION,Exit A,B7DF61CC7C6C3B13,"20231019120510",103.77259057420869,1.3798533467645455,POINT (103.77259057420869 1.3798533467645455),POINT (21241.735400034777 40202.774300005745)
14645,PENDING LRT STATION,Exit A,"17E89960BD47612A","20231019120510",103.77132784229688,1.376297117193637,POINT (103.77132784229688 1.376297117193637),POINT (21101.19890003442 39809.54790000024)
14646,PETIR LRT STATION,Exit A,B0600A1212F651AE,"20231019120510",103.76679301496294,1.37760322809516,POINT (103.76679301496294 1.37760322809516),POINT (20596.532600034545 39953.98470000221)
14647,BUKIT PANJANG MRT STATION,Exit A,"68EDD0201493E175","20231019120510",103.75959784357276,1.3807451173057772,POINT (103.75959784357276 1.3807451173057772),POINT (19795.80990003411 40301.42270000714)
14648,PHOENIX LRT STATION,Exit A,C7F6410B1E2A01E2,"20231019120510",103.75825247510643,1.378614068213967,POINT (103.75825247510643 1.378614068213967),POINT (19646.079800033476 40065.78660000381)
14649,TECK WHYE LRT STATION,Exit A,E0F222D52301D3A3,"20231019120510",103.75382610234246,1.3765641949369936,POINT (103.75382610234246 1.3765641949369936),POINT (19153.471900033805 39839.137800000586)
14650,KEAT HONG LRT STATION,Exit A,C7644F242A74A168,"20231019120510",103.74922684160637,1.3784649670168292,POINT (103.74922684160637 1.3784649670168292),POINT (18641.63820003433 40049.33330000361)
14651,HAVELOCK MRT STATION,Exit 1,"43806860EF6F95B6","20231019120510",103.83383975335771,1.2866767448179222,POINT (103.83383975335771 1.2866767448179222),POINT (28058.002300034965 29899.696699861084)
14652,STEVENS MRT STATION,Exit 3,FD76A5DA4056C137,"20231019120510",103.82499157064271,1.3194704609951542,POINT (103.82499157064271 1.3194704609951542),POINT (27073.285800033704 33525.85849991196)
14653,STEVENS MRT STATION,Exit 2,A6EA6AA10E329D97,"20231019120510",103.82601359358057,1.3188288961882542,POINT (103.82601359358057 1.3188288961882542),POINT (27187.026700033646 33454.91719991101)
14654,STEVENS MRT STATION,Exit 1,"43C1FAB4A764D619","20231019120510",103.82572837817727,1.319951635106423,POINT (103.82572837817727 1.319951635106423),POINT (27155.285400034318 33579.063999912745)
14655,STEVENS MRT STATION,Exit 4,"93AA974193E59BF8","20231019120510",103.82588286965881,1.321519904255611,POINT (103.82588286965881 1.321519904255611),POINT (27172.479300034243 33752.47509991517)
14656,STEVENS MRT STATION,Exit 5,"3DDAD01108E1ED83","20231019120510",103.8263225771446,1.320937743414412,POINT (103.8263225771446 1.320937743414412),POINT (27221.414200035135 33688.10259991425)
14657,ORCHARD MRT STATION,Exit 6,D7A5F13EF395CD85,"20231019120510",103.83232091515383,1.3036476952659275,POINT (103.83232091515383 1.3036476952659275),POINT (27888.9691000338 31776.256899887412)
14658,ORCHARD MRT STATION,Exit 5,FCA5411E28B2A33D,"20231019120510",103.83202381515746,1.303944717459933,POINT (103.83202381515746 1.303944717459933),POINT (27855.904600034108 31809.100099887866)
14659,ORCHARD MRT STATION,Exit 13,DBD31FCCFBAE692E,"20231019120510",103.83212482963054,1.3022992113235183,POINT (103.83212482963054 1.3022992113235183),POINT (27867.146500033872 31627.14849988532)
14660,ORCHARD MRT STATION,Exit 8,"705858431FF72BCB","20231019120510",103.83178613555991,1.303445719589311,POINT (103.83178613555991 1.303445719589311),POINT (27829.453000035977 31753.923499887092)
14661,ORCHARD MRT STATION,Exit 9,AD31C99F12BAEE46,"20231019120510",103.83150686184108,1.3036655162164055,POINT (103.83150686184108 1.3036655162164055),POINT (27798.372400034656 31778.22749988748)
14662,ORCHARD MRT STATION,Exit 10,B3BE3F499ED707F1,"20231019120510",103.83112657424772,1.3040457054348609,POINT (103.83112657424772 1.3040457054348609),POINT (27756.049900036094 31820.266899888058)
14663,ORCHARD MRT STATION,Exit 11,"0A847CDFAB7B3F63","20231019120510",103.83049672354741,1.3042179790540407,POINT (103.83049672354741 1.3042179790540407),POINT (27685.95330003495 31839.31609988829)
14664,ORCHARD MRT STATION,Exit 12,A360078B6432F773,"20231019120510",103.8306630989529,1.302857614748984,POINT (103.8306630989529 1.302857614748984),POINT (27704.469200033334 31688.893999886208)
14665,NAPIER MRT STATION,Exit 2,CE1402EDB6926C4A,"20231019120510",103.8195066211851,1.3063449793684014,POINT (103.8195066211851 1.3063449793684014),POINT (26462.85680003402 32074.51289989161)
14666,NAPIER MRT STATION,Exit 1,"8800C596B7DB260F","20231019120510",103.81948377777624,1.3069359879223381,POINT (103.81948377777624 1.3069359879223381),POINT (26460.314900035537 32139.863599892513)
14667,HAVELOCK MRT STATION,Exit 3,"3509B8FC37977C9F","20231019120510",103.83336952027848,1.2888435633535371,POINT (103.83336952027848 1.2888435633535371),POINT (28005.66930003402 30139.29229986443)
14668,GREAT WORLD MRT STATION,Exit 4,"5FD7E726E04576E5","20231019120510",103.83303710057669,1.296029832789246,POINT (103.83303710057669 1.296029832789246),POINT (27968.67390003463 30933.912899875617)
