"station_name","town","num_blocks","min_dist_m"
ADMIRALTY MRT STATION,WL,496,26.87
ALJUNIED MRT STATION,GL,134,232.58
ALJUNIED MRT STATION,KWN,25,929.92
ANG MO KIO MRT STATION,AMK,336,119.77
ANG MO KIO MRT STATION,BH,24,1012.28
BAKAU LRT STATION,SK,375,43.15
BAKAU LRT STATION,PG,125,625.28
BAKAU LRT STATION,HG,15,946.16
BANGKIT LRT STATION,BP,347,59.33
BARTLEY MRT STATION,TP,108,54.67
BARTLEY MRT STATION,SGN,45,572.11
BARTLEY MRT STATION,HG,36,881.37
BAYSHORE MRT STATION,BD,95,565.18
BEAUTY WORLD MRT STATION,BT,21,100.75
BEDOK MRT STATION,BD,273,114.90
BEDOK NORTH MRT STATION,BD,252,14.63
BEDOK RESERVOIR MRT STATION,BD,238,74.36
BEDOK RESERVOIR MRT STATION,TAP,63,457.09
BENCOOLEN MRT STATION,CT,48,132.93
BENDEMEER MRT STATION,KWN,164,298.84
BENDEMEER MRT STATION,CT,16,970.86
BISHAN MRT STATION,BH,232,36.76
BISHAN MRT STATION,TP,37,927.66
BISHAN MRT STATION,AMK,2,1149.88
BOON KENG MRT STATION,KWN,204,35.18
BOON KENG MRT STATION,TP,2,1155.96
BOON LAY MRT STATION,JW,353,178.42
BOTANIC GARDENS MRT STATION,BT,8,871.68
BRADDELL MRT STATION,TP,254,31.38
BRADDELL MRT STATION,BH,117,473.04
BRAS BASAH MRT STATION,CT,32,194.28
BRIGHT HILL MRT STATION,BH,62,46.78
BRIGHT HILL MRT STATION,AMK,91,375.11
BUANGKOK MRT STATION,SK,354,38.15
BUANGKOK MRT STATION,HG,202,351.65
BUGIS MRT STATION,CT,48,191.89
BUGIS MRT STATION,KWN,42,654.37
BUKIT BATOK MRT STATION,BB,358,58.71
BUKIT BATOK MRT STATION,JE,54,747.12
BUKIT GOMBAK MRT STATION,BB,275,71.93
BUKIT PANJANG LRT STATION,BP,321,135.24
BUKIT PANJANG LRT STATION,CCK,66,447.32
BUKIT PANJANG MRT STATION,BP,304,56.59
BUKIT PANJANG MRT STATION,CCK,101,123.70
BUONA VISTA MRT STATION,QT,131,223.39
CALDECOTT MRT STATION,TP,170,249.00
CALDECOTT MRT STATION,KWN,5,1035.50
CALDECOTT MRT STATION,BH,5,1138.12
CANBERRA MRT STATION,SB,184,36.77
CANBERRA MRT STATION,YS,81,647.92
CASHEW MRT STATION,BP,107,559.58
CC9,GL,168,350.81
CHENG LIM LRT STATION,SK,396,134.11
CHENG LIM LRT STATION,PG,161,526.01
CHINATOWN MRT STATION,CT,42,33.46
CHINATOWN MRT STATION,BM,51,813.45
CHINESE GARDEN MRT STATION,JE,162,207.95
CHINESE GARDEN MRT STATION,JW,57,856.52
CHINESE GARDEN MRT STATION,BB,20,909.91
CHOA CHU KANG LRT STATION,CCK,400,125.74
CHOA CHU KANG MRT STATION,CCK,429,94.24
CITY HALL MRT STATION,CT,25,402.32
CLARKE QUAY MRT STATION,CT,44,178.91
CLEMENTI MRT STATION,CL,242,60.57
COMMONWEALTH MRT STATION,QT,154,60.45
COMPASSVALE LRT STATION,SK,433,33.39
COMPASSVALE LRT STATION,PG,276,465.36
CORAL EDGE LRT STATION,PG,354,29.46
CORAL EDGE LRT STATION,SK,156,469.18
COVE LRT STATION,PG,499,31.57
COVE LRT STATION,SK,199,447.52
DAKOTA MRT STATION,GL,83,51.08
DAKOTA MRT STATION,KWN,16,684.56
DAMAI LRT STATION,PG,451,42.53
DAMAI LRT STATION,SK,5,1163.54
DHOBY GHAUT MRT STATION,CT,24,564.12
DOVER MRT STATION,QT,50,644.58
DOVER MRT STATION,CL,53,735.53
DOWNTOWN MRT STATION,CT,21,866.26
DT18,CT,42,235.94
DT18,BM,11,1010.34
DT4,BB,10,1082.44
ESPLANADE MRT STATION,CT,16,354.97
EUNOS MRT STATION,GL,123,74.26
EUNOS MRT STATION,BD,17,949.84
EXPO MRT STATION,TAP,42,826.57
