"objectid","name","inc_crc","updated_at","geom_4326","geom_3414","x","y"
63793,JANGGUS GARDEN,"1F3DD1EC5E0E9581","20250124001423",POINT (103.83698385 1.45753983),POINT (28407.885054116716 48792.86785391603),28407.885,48792.86762347
63794,PEBBLE GARDEN,"930E38BDE1EF7481","20250124001423",POINT (103.82949312 1.45064492),POINT (27574.287499549926 48030.46327734811),27574.28801996,48030.46359999
63795,SPRINGSIDE PK,A1B958A0B15ABD55,"20250124001423",POINT (103.82060744 1.4056719),POINT (26585.42548470296 43057.576633414654),26585.42505,43057.57656617
63796,CASHEW RD PG,"1E1A89687763439E","20250124001423",POINT (103.76466781 1.37059982),POINT (20360.001366338296 39179.58959950987),20360.001,39179.58947282
63797,CASHEW LINK PG,"95CAFC22DFC58B3A","20250124001423",POINT (103.76892501 1.37135889),POINT (20833.778600870894 39263.51059076574),20833.779,39263.5103464
63798,CACTUS RD PG,"00177AF225584CC7","20250124001423",POINT (103.85223648 1.39010905),POINT (30105.31553608268 41336.72004132741),30105.315,41336.72021843
63799,EAST COAST PARK AREA C,F82E79A64DA965B0,"20250124001423",POINT (103.91246081 1.30035164),POINT (36807.82197099519 31411.93405861011),36807.8223041,31411.93424999
63800,EAST COAST PARK AREA E1 CAR PARK,CFA6A14454D77813,"20250124001423",POINT (103.93021604 1.30732067),POINT (38783.79223371153 32182.603495254887),38783.79251195,32182.60354999
63801,THE FOOTHILLS FORT CANNING PK,"79D936350ADC3D5C","20250205023430",POINT (103.84569066 1.29225761),POINT (29376.905799288903 30516.803302924098),29376.90545,30516.80383273
63802,JLN SENDUDOK PARK,ECB76709E622AE18,"20250205023430",POINT (103.82716296 1.44389988),POINT (27314.97582332499 47284.63115552956),27314.97635,47284.63079328
63803,PASIR PANJANG NURSERY,"94CD40DF5AA51F8B","20250205023430",POINT (103.79387132 1.28158977),POINT (23609.84195956136 29337.23912759368),23609.84205,29337.23955703
63804,CAMBRIDGE PARK,"39073847C9B058FA","20250205023430",POINT (103.84683782 1.3136609),POINT (29504.562123978787 32883.46959902204),29504.56245,32883.46981774
63805,SEMBAWANG PK,"0B5AAB3D0B87E215","20250205023430",POINT (103.83684543 1.46150297),POINT (28392.48047815487 49231.09202055775),28392.48005,49231.09170055
63806,BUKIT TIMAH NATURE RESERVE,A7291E7086B9FC70,"20250205023430",POINT (103.77909858 1.35405948),POINT (21965.930576654915 37350.60107827118),21965.93055,37350.60083183
63807,LOWER PEIRCE RESERVOIR PARK,"546A3E0750A821F2","20250205023430",POINT (103.82649975 1.36921472),POINT (27241.146731378132 39026.323848166525),27241.14665,39026.32378691
